ID,Region/Province,Municipality/City,2009,2012,2015
15526,,Mangaldan,17.8,12.5,11.5
15527,,Mangatarem,25.5,10.6,14.7
15528,,Mapandan,21.3,12.9,11.4
15529,,Natividad,21.5,11.9,11.7
15530,,Pozorrubio,20.0,15.4,10.2
15531,,Rosales,17.9,8.8,13.3
15532,,San Carlos City,26.4,16.0,12.3
15533,,San Fabian,22.1,11.7,10.1
15534,,San Jacinto,21.1,13.6,11.5
15535,,San Manuel,21.3,9.1,12.4
15536,,San Nicolas,18.9,13.9,13.1
15537,,San Quintin,20.5,11.8,12.6
15538,,Santa Barbara,20.4,12.3,11.7
15539,,Santa Maria,18.3,16.6,11.8
15540,,Santo Tomas,17.5,13.0,12.2
15541,,Sison,18.9,7.9,10.0
15542,,Sual,26.7,11.8,13.5
15543,,Tayug,16.4,6.7,11.3
15544,,Umingan,22.9,21.6,12.5
15545,,Urbiztondo,31.7,13.0,18.9
15546,,Urdaneta City,14.4,6.8,9.8
15547,,Villasis,17.0,14.4,10.2
15548,,Laoac,21.0,14.2,10.7
,Region II (Cagayan Valley),,,,
20901,Batanes,Basco,5.1,16.9,14.4
20902,,Itbayat,12.6,34.1,26.4
20903,,Ivana,8.9,16.4,18.3
20904,,Mahatao,8.9,21.4,18.0
20905,,Sabtang,11.4,30.7,24.2
20906,,Uyugan,8.1,18.1,19.5
21501,Cagayan,Abulug,21.6,20.9,14.4
21502,,Alcala,21.8,18.9,13.6
21503,,Allacapan,21.2,18.0,12.3
21504,,Amulung,27.9,25.2,17.5
21505,,Aparri,15.4,21.9,15.4
21506,,Baggao,22.6,22.0,13.4
21507,,Ballesteros,22.7,17.9,12.5
21508,,Buguey,22.4,18.6,15.8
21509,,Calayan,27.7,47.4,22.7
21510,,Camalaniugan,16.9,17.1,11.9
21511,,Claveria,15.1,14.6,9.4
21512,,Enrile,19.8,19.7,12.6
21513,,Gattaran,19.2,16.7,14.8
21514,,Gonzaga,16.6,13.4,13.1
21515,,Iguig,19.5,14.3,12.5
21516,,Lal-lo,16.7,15.5,11.1
21517,,Lasam,18.2,13.6,12.2
21518,,Pamplona,20.7,26.7,15.0
21519,,Peñablanca,18.2,20.1,12.6
21520,,Piat,22.5,15.6,14.4
21521,,Rizal,26.1,18.8,22.6
21522,,Sanchez-Mira,13.4,17.2,9.9
21523,,Santa Ana,16.3,20.6,12.5
21524,,Santa Praxedes,17.2,17.5,9.8
21525,,Santa Teresita,18.6,16.2,12.6
21526,,Santo Niño,26.3,22.1,19.7
21527,,Solana,22.5,22.7,11.9
21528,,Tuao,22.7,17.9,15.5
21529,,Tuguegarao City,8.5,9.3,6.0
23101,Isabela,Alicia,17.2,15.2,12.4
23102,,Angadanan,18.9,17.6,18.3
23103,,Aurora,16.4,13.1,10.8
23104,,Benito Soliven,25.4,23.6,21.7
23105,,Burgos,18.2,14.0,14.0
23106,,Cabagan,16.6,19.3,17.2
23107,,Cabatuan,12.7,14.2,11.6
23108,,Cauayan City,15.9,17.3,12.8
23109,,Cordon,16.3,18.6,13.7
23110,,Dinapigue,13.8,25.8,14.7
23111,,Divilican,23.6,45.7,26.2
23112,,Echague,15.2,17.5,15.8
23113,,Gamu,14.8,16.2,13.3
23114,,Ilagan City,15.3,17.9,13.3
23115,,Jones,15.5,12.6,14.7
23116,,Luna,13.8,10.4,8.7
23117,,Maconacon,9.9,29.3,20.9
23118,,Delfin Albano,19.9,16.3,13.6
23119,,Mallig,23.8,18.7,13.3
23120,,Naguilian,18.7,19.2,15.2
23121,,Palanan,19.8,48.6,27.2
23122,,Quezon,23.8,24.2,18.0
23123,,Quirino,20.4,15.9,10.8
