,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
8153,108037,Balayungan ES,IV-A (CALABARZON),Cavite,Maragondon,Cavite,Maragondon,grade 4,male,9,14.2605618,120.7833306
8154,108470,Balibago Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District III,grade 4,male,163,14.2961748,121.1046398
8155,108113,Balite I ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 4,male,17,14.2001402,120.9790281
8156,108114,Balite II ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 4,male,23,14.1751663,120.9732917
8157,108027,Baliwag ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 4,male,16,14.153694,120.7881492
8158,108059,Balsahan ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 4,male,55,14.3202537,120.7572651
8159,108323,Balubad Elementary School,IV-A (CALABARZON),Laguna,Lumban,Laguna,Lumban-Kalayaan,grade 4,male,14,14.2834864,121.4713287
8160,108096,Balubad ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 4,male,31,14.1939138,120.9503435
8161,108303,Bambang ES,IV-A (CALABARZON),Laguna,Los Banos,Laguna,Los BaÐos,grade 4,male,47,14.1570027,121.208259
8162,109779,Banaad Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 4,male,34,14.0226866,121.2926245
8163,108005,Banaba Cerca ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,19,14.2170457,120.85133
8164,108006,Banaba Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,15,14.2309141,120.8355378
8165,108235,Banay-Banay ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 4,male,84,14.2546177,121.1295104
8166,108495,Banca-Banca ES,IV-A (CALABARZON),Laguna,Victoria,Laguna,Victoria,grade 4,male,34,14.2032537,121.351304
8167,108060,Bancaan ES,IV-A (CALABARZON),Cavite,Naic,Cavite,Naic I,grade 4,male,77,14.3132432,120.7565467
8168,107892,Bancal ES,IV-A (CALABARZON),Cavite,Carmona,Cavite,Carmona,grade 4,male,113,14.2837535,121.0077058
8169,108007,Bancod ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,14,14.2189423,120.8742968
8170,108254,Bangyas ES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 4,male,20,14.1848203,121.3098389
8171,108354,Banilad ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 4,male,11,14.1291379,121.3927544
8172,108390,Banilan ES,IV-A (CALABARZON),Laguna,Pakil,Laguna,Pangil-Pakil,grade 4,male,17,14.3722117,121.4013285
